@relation combinedRaw

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {Down,Left,Right,TiltLeft,TiltRight,Up}

@data
-187,-1208,287,40609,39390,123719,111,373,-151,-6829,-28841,-81768,901,1298,345,176585,74146,-161097,211,315,-274,-210853,-44146,-82743,-306,110,-650,-54878,-37195,78109,-82,103,596,51402,41829,170731,61,-644,-162,2500,21036,96768,23,-213,-59,5121,-7682,-7865,-187,-328,56,25426,11524,-4634,-352,-369,120,51280,20426,4756,-68,114,-128,-32743,-36524,-46768,-79,250,92,-10426,12682,-38048,-24,65,50,-1951,-1280,-11524,7,177,21,-8170,-13902,-16646,46,103,-67,-4573,-3536,-182,-14,-52,-32,11707,-3658,15609,23,-46,-11,487,4390,1402,7,19,57,6280,1768,243,-4,-19,-22,-4756,-3597,365,7,-2,-13,-7012,-2926,-2804,Down
-59,-1361,0,16707,-8414,55365,145,-148,111,28109,19634,-50548,952,2743,69,12987,5548,-240609,-306,5,-365,-85792,-44390,52195,-283,-695,439,35000,38353,142865,232,66,-194,-15670,-26219,83719,-82,-381,-13,-22073,26524,50426,-73,-221,-84,14146,-6036,-4939,-254,-275,-75,37378,11890,609,-273,-371,109,-10243,6646,-7926,8,151,-50,4024,-24390,-47256,-13,204,117,-2621,6402,-37926,-14,287,84,-14878,7317,-19573,54,64,-89,1829,-10609,9634,7,30,-37,-182,-4573,10975,-7,-33,8,7804,2256,5365,9,-31,11,6646,3353,3841,-12,-25,-15,-4634,304,1768,-12,-8,-9,-2439,-1280,-1097,-6,2,5,-2439,1219,-975,Down
-176,-1162,200,29451,15243,39878,283,-130,-314,-5304,-16341,-24695,623,1606,160,10426,24573,-183170,-169,989,-200,-55548,-54817,-11707,-126,-293,533,26890,53048,101280,175,-454,-259,-19512,-26219,139878,-36,-455,-144,-10914,-11890,27256,-36,-141,-27,2073,17621,-9634,-296,-386,11,39573,13841,-10121,-236,-50,27,2012,-18658,-21219,-39,26,-2,-13841,-1890,-10609,-69,272,112,-3536,8719,-37743,19,125,-20,-4817,-1158,-15000,33,86,-14,-1890,-1585,-3414,59,41,-25,1646,853,1280,16,-20,20,731,1829,9573,-9,-52,-20,6280,-4573,5243,-11,0,15,-2378,243,-1829,1,22,-16,-1341,-1158,-121,-19,-13,17,-60,1036,1158,Down
-184,-1152,83,13109,-365,22682,389,166,-71,44451,7987,-31768,1156,1790,302,-51646,18231,-231646,-674,667,-131,-51768,-34878,23536,-284,-600,194,35426,15975,173536,288,-487,-386,3231,-914,127256,-35,-140,-28,10914,8841,20792,-89,-256,44,-2195,-7317,-13353,-303,-312,-9,13841,-3536,-19634,-170,-257,-125,-14756,-10914,-8353,-104,103,53,7256,-2012,-28719,-65,278,131,-3841,20121,-37804,-23,74,46,-3109,792,-10060,101,182,-46,-6219,-7134,-5182,31,15,-74,3292,-4878,7073,-1,-61,77,3902,3231,8719,0,-23,-40,-2500,975,548,7,2,4,3414,-3109,670,-10,-17,-4,-2439,-3597,1585,-4,31,5,-609,2256,-2865,Down
-100,-1338,69,-792,12804,46646,266,5,-121,10670,-19207,-40121,954,1423,27,7926,0,-220304,283,1617,435,10121,5304,-76341,-792,-676,-546,-99207,-12987,275548,120,-793,320,83597,17865,129451,73,-71,-216,-16280,-14268,-1707,-240,-502,-95,-8597,3719,-10060,-241,28,2,25548,9024,-15914,-345,-221,81,-10792,3475,-6646,-94,131,19,5792,-2682,-47743,-17,199,53,9634,6707,-25304,-11,118,62,-12378,243,-13719,37,39,6,-6951,-5426,-5304,71,102,-72,-670,-2926,304,18,2,41,1341,2500,4329,-30,-60,-6,2073,-1463,5609,19,-16,-30,-609,-3231,4207,1,-6,0,-975,-2560,731,0,9,-1,3109,2256,-1280,Down
-145,-1557,46,-51524,6707,37317,370,23,-247,66890,-21463,-65426,653,2662,-97,84939,8231,-101219,-74,-1060,112,-234817,-27682,-34451,-136,1093,281,181951,31158,-426,46,-397,43,-42439,25853,185853,188,-413,-40,-14085,-12804,73536,-208,-349,-113,6402,10548,10000,-243,-157,-76,-11646,-17317,-21402,-135,-269,-80,28048,-19268,9085,-227,-62,24,-4329,9390,-32560,-105,156,92,-4024,13841,-38597,-34,143,46,365,5731,-17804,54,214,28,-4817,-2682,-17378,26,-3,-13,-1341,-4573,2560,-1,26,-28,487,-8475,6402,19,4,48,-4512,6829,2317,-25,-98,-39,1646,-4878,7195,19,25,-16,2195,182,-4939,-5,17,-1,-731,2500,-121,Down
-66,-1103,9,12195,-9207,73231,196,-992,-111,50731,9085,1890,1588,2736,777,-60548,91524,-400121,-460,902,-234,-63536,-57317,-5182,-716,-735,-101,51097,-16829,228658,354,-247,-230,-15853,-14878,165792,-64,-461,2,-12378,12500,81097,6,-77,-225,-13963,-28841,-13841,-369,-267,-67,61951,16646,-16524,-295,-228,35,10487,6890,-18353,-259,-123,86,-8658,-2134,-27195,-39,285,-3,-7682,-3780,-55670,-29,183,71,-4939,8902,-17195,57,150,-22,1768,-5853,-13475,41,32,-10,853,-731,4085,7,-40,-5,4024,-2682,7560,-17,-25,21,1646,2012,304,28,57,50,-6097,-243,-731,18,-17,-44,365,-8719,6585,-19,-19,0,5548,-1402,3597,Down
-49,-1181,39,-2621,7195,29390,74,-373,-32,14207,17865,-15243,1144,2340,42,24451,-18841,-250487,-254,465,-30,-86219,-26036,-7743,-314,-264,9,27195,13048,136158,191,-354,-31,3170,15792,169451,-29,-312,110,28109,8597,51829,-146,-426,-160,-25914,-13353,-182,-299,-244,-73,23902,-914,-25670,-223,-213,9,8841,-1158,-13414,-163,49,70,-18109,6524,-36524,-8,224,9,-609,487,-30853,-38,207,107,-2073,10487,-23597,47,90,-5,-2560,-5975,-304,65,41,-65,3658,-6402,1646,12,9,41,-2926,1951,5548,-24,-60,28,1097,-2926,6707,6,0,-56,-2195,-2987,304,5,-17,0,3597,2256,1097,-19,-6,20,121,365,-792,Down
-97,-1328,-129,1585,3109,34756,682,-26,251,-38902,58292,-104573,1107,2921,382,4146,-40243,-282256,-942,-699,-913,-81158,-78536,232926,-74,155,674,148170,82621,111219,342,-559,-330,-57134,-6219,136280,-184,-586,-180,1646,-9390,9146,-276,-166,76,45609,31341,-15548,-347,-213,-26,9390,-41280,-32317,-238,-11,69,-17134,2621,-36341,-61,196,61,-6951,-121,-34756,-56,148,94,-3597,6951,-26158,42,133,-42,-8536,-10182,-7804,83,69,-29,-8231,-731,-2987,-9,-8,-1,4939,-121,4817,26,38,6,2926,-121,3231,19,46,28,548,2500,2317,0,-79,-70,670,-4146,8780,-25,-14,52,7195,2682,304,13,4,-4,-9390,1280,-975,Down
-169,-1275,16,13170,-14390,23109,321,-520,45,-7682,35792,-82195,1747,2070,-174,-7439,-26890,-205975,-937,907,-414,-95609,-75243,85670,-223,-328,634,104695,84878,141158,167,-549,-83,-14024,-8902,120426,-95,-438,-137,1219,3597,29573,-110,88,49,18109,14146,-17012,-299,-184,-29,-1768,-12073,5365,-242,-283,42,-18109,853,-5670,-149,117,-44,14146,-2743,-42439,-18,286,98,-3414,6585,-43170,-54,-16,-8,2682,1341,-3414,81,131,-38,-975,-7987,-16097,27,31,15,-4878,6341,60,-5,-39,51,7865,-670,4695,1,7,-9,2987,-4878,1951,-17,-2,20,-2804,1097,853,1,-34,-14,-5243,-2500,-548,2,16,-6,-304,-1402,60,Down
