@relation NewBigData_train_raw

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {Down,Left,Right,TiltLeft,TiltRight,Up}

@data
-78,1007,17,4939,3719,-13658,4,-120,19,-3841,12317,36768,170,-590,-17,-13109,3963,88658,120,-578,170,-46341,7560,16829,-1,-570,25,-1463,17865,-55548,-34,334,144,15975,13658,-48475,45,225,60,17621,-25060,-18780,-21,130,-132,27073,-24268,-22682,-18,98,-18,6402,-2439,-10853,-20,104,39,-5792,-8292,975,13,-20,-75,1768,-6463,5243,7,15,-19,-9268,2500,2073,-52,-4,-10,1768,2378,3475,-21,-13,19,-4146,3719,3475,4,-95,7,-6951,2865,6463,-42,17,-19,7073,11768,-1219,-84,28,84,-3902,-2621,6158,25,-59,-51,10792,-1768,487,2,90,42,-1158,4817,-5426,16,-16,-62,-5121,-6768,8353,Up
665,-1423,402,-48658,-22865,56768,46,377,128,90670,23963,-121341,-560,1526,-508,77621,7743,-135792,-465,487,-256,-81341,-5670,67865,-6,156,57,-18170,-487,66829,68,202,38,-21646,-4085,97439,157,-412,90,-60,22317,78475,632,-1983,-98,-81585,-60182,67865,-308,365,333,8231,50853,-157195,-101,406,-58,61219,-1890,-37317,6,264,-96,31829,-5060,11402,-12,55,-23,-426,-1890,4146,-40,-43,44,-14085,-2804,-6890,-18,-24,14,792,-1402,-2317,-6,5,-26,2865,-6768,1402,31,17,-35,-1951,-1951,-1890,-21,22,-20,-4939,3780,-1158,-3,-18,-14,-4390,3902,4390,41,-43,47,1524,6341,4451,-39,-21,-40,1036,-2804,-1097,Up
-827,-642,82,20243,-182,65731,-63,-140,27,-5487,4695,-50548,150,355,49,-23170,6463,-91707,151,241,-32,-11646,-8231,-30487,211,254,-51,-10853,-1341,-15426,189,136,-79,-2317,-4573,8536,42,-14,7,1341,9512,15731,153,44,-26,8719,-975,20975,16,57,13,17560,-3536,22134,94,35,-13,975,1646,37621,-87,-366,-29,2439,-4085,23780,-39,-18,2,609,1280,-4756,21,70,14,853,121,-1829,7,5,-10,182,-60,609,-15,-19,4,609,548,1158,-9,1,11,60,-670,-1219,13,-9,-20,-1585,-1158,-914,10,3,7,792,1463,1524,-9,4,23,1463,487,-609,5,0,-10,-1890,-304,365,Up
-687,-834,75,36219,-10548,170304,-136,-21,36,-22865,10121,-87804,83,208,-5,-13292,853,-117743,105,351,26,-14756,3109,-52865,246,321,-39,-15914,-4634,-29817,180,181,-94,3414,-1280,1524,62,84,-20,4390,3658,14451,111,25,20,8597,2378,38536,-17,-129,-42,3902,-1463,29695,62,73,90,20975,3841,20487,-43,-227,-56,-7926,-7987,19329,-33,-64,-46,-5304,0,-3170,-7,45,29,2560,2743,-3963,18,23,-5,548,-1036,1890,-13,-28,3,2682,548,1707,-1,-21,40,-609,1402,-1158,11,45,-8,-1890,-792,-3780,-12,-5,-13,-1219,-1829,1829,0,-9,-16,487,609,1402,6,9,10,-304,365,-792,Up
-772,-751,130,10365,609,46951,112,66,-17,-1951,2621,-70487,174,464,90,-12195,4329,-76646,115,257,-67,-19451,-4695,-14878,156,166,-70,-8353,304,15304,97,38,31,11585,1280,18475,64,-168,-43,-4451,1036,25975,6,53,-57,17865,-6097,12682,124,94,64,17195,3658,14268,10,-164,-52,-2500,-3170,19024,-66,-91,35,-5609,1036,9390,-6,34,22,-1158,0,-1463,16,-10,-20,-1097,-1341,914,-7,-9,17,1219,121,1158,-13,3,-9,-1097,-731,-670,6,13,-4,-914,487,-914,5,-18,-9,2012,1219,670,-3,26,44,-121,1280,1646,-7,0,-26,-975,-2621,-1646,6,-22,-21,-1097,-670,487,Up
-736,-738,110,25975,731,85548,20,-54,43,-17073,6463,-55853,-62,229,53,-21829,5243,-87743,136,305,5,-16036,-6341,-44695,226,324,-131,-17500,-8719,-22560,165,144,-33,10975,2195,6890,125,61,-33,13170,792,19512,51,-55,-9,5548,-3414,30426,95,-92,-48,3658,4329,17500,-7,125,33,15182,2195,11097,87,-135,3,4695,-2256,30731,-69,-173,-33,-6585,-3475,16036,-13,36,18,-1829,4512,-4756,-1,20,-12,4146,-731,-2134,4,7,21,1036,548,-1097,-3,-18,10,-182,-731,487,17,28,-33,-1829,-1768,-1646,-6,-16,14,0,-1158,2317,0,-19,-5,-548,914,-731,0,37,-5,792,792,-1097,Up
-677,-835,97,40121,8475,133902,-106,-70,63,-8963,-4512,-72621,90,309,38,-29695,-3231,-109390,116,318,-52,-17073,-8414,-43536,244,238,-82,-7256,975,-26524,133,304,-32,-6707,9390,1219,53,77,-53,0,-1219,22621,83,-25,14,12317,-60,42804,27,-188,-23,6097,-182,21280,58,105,29,9146,2865,9817,-14,-245,-17,5365,-4695,25975,-43,-47,-9,-7195,731,1036,-9,41,-19,-853,2134,-4268,20,16,-18,1768,914,-3475,-25,-9,47,5975,-1158,975,4,7,-10,-6097,-1158,914,19,-13,-15,-609,1524,1036,-6,0,16,4085,670,-304,-11,15,18,914,-243,-853,19,2,-31,-1097,-1097,-1219,Up
-685,-787,152,25853,1707,100000,-77,-74,26,-6219,1768,-68719,95,418,31,-26585,-3658,-99939,166,353,-52,-13414,-9146,-29268,146,216,-89,-13780,365,3780,63,48,3,3353,2378,12195,77,-45,-39,6890,-2499,19329,95,32,0,7987,2987,7134,67,-33,-9,6646,2256,18170,21,-8,-5,3963,2560,13292,-20,-11,9,5731,2012,11097,49,-8,18,2743,426,4756,-15,-133,-38,-121,-2560,10060,-21,15,17,-1829,365,-3536,28,54,8,-426,1951,-487,6,-26,1,-792,-853,3597,-19,-27,-7,975,-609,1524,5,18,15,121,426,-1768,-9,-16,-20,-1890,-853,426,19,0,14,1646,609,304,Up
-747,-698,97,21768,3231,80731,-54,-41,17,-10853,1890,-53963,34,223,54,-22560,914,-82682,137,240,-8,-14451,-4085,-37987,210,252,-47,-9878,-6768,-22378,136,227,-56,-2621,-2195,-1829,154,82,-27,11646,-1097,22621,83,-41,-32,10914,975,33353,31,-29,-37,4390,2317,23780,-25,-77,-14,9512,4939,18231,53,-34,59,4878,60,9390,-5,-73,-47,-3109,-2195,7012,-22,-26,11,-365,1524,1890,9,36,3,-670,1036,-1280,1,-15,9,1280,-731,3536,-10,-10,-13,1158,304,1280,-16,-15,34,-60,-60,-121,14,10,-12,-1341,-975,-853,-1,2,5,-121,304,-1097,-1,-2,-22,-304,-60,182,Up
-722,-716,128,27439,3292,94878,-62,-110,42,-14573,1829,-61219,97,381,25,-22439,1341,-97987,127,285,-1,-11890,-5365,-30365,122,135,-90,-16036,-9085,-12682,202,197,-57,5243,-670,-1097,137,53,-19,7743,3353,12804,83,0,-63,10670,3109,32195,5,-22,57,13780,5000,18658,73,-22,29,9024,-1341,15731,-33,-183,-32,-6890,-1951,18963,22,46,9,-487,1524,2743,-12,-18,14,-243,-243,6219,-3,-31,-3,-3170,-2012,2682,-11,-19,-3,1158,1341,-426,1,22,-21,-121,121,60,-6,-17,19,975,487,-182,10,15,0,-914,-365,-1219,-9,0,-3,1158,-975,1036,15,-9,26,-243,1280,-1707,Up
-787,-712,103,30182,3475,76707,20,-1,59,-12073,1890,-67500,136,399,-11,-31463,-3414,-70121,49,214,-29,-10792,-3963,-18963,190,140,-49,-9817,-6646,-7804,135,131,-58,243,5060,3231,113,117,-7,7987,2987,17073,22,-55,-44,9085,-792,26158,-41,-159,-29,6097,975,25609,52,122,84,13414,3719,-3109,18,-136,-41,-1280,-4207,16280,-12,-84,-4,-1036,1036,1951,-24,86,14,-487,975,-4024,39,22,24,1097,182,1219,-17,-56,-41,-2256,-3231,5121,12,6,31,1036,1829,-1768,-9,7,-8,-548,-670,-548,7,-5,-21,1829,182,243,-4,-3,23,243,1097,365,9,8,14,609,-365,-792,Up
-665,-958,175,37012,5000,119512,-123,-29,0,-23536,-2073,-83414,21,387,-38,-33231,-5853,-120853,188,344,4,-19146,-3658,-43170,293,359,-167,-7378,-15000,-4878,154,-96,-10,21524,4024,28780,304,331,-3,11158,6036,2926,-118,2,-43,6829,5426,53719,64,-82,74,11097,8841,27743,-130,-345,-46,-5487,-3231,29146,1,23,28,-792,2560,-7134,30,87,20,1280,609,-2926,5,-15,9,-609,-1280,2560,-30,-51,12,1524,-1280,2865,3,30,-3,-3963,-2256,-2012,-4,4,-31,-487,-792,-731,3,-12,21,1585,1951,0,4,-2,-12,670,182,-792,7,22,-2,-487,609,-1402,-1,-3,-5,304,-426,792,Up
-698,-828,133,33170,2926,125121,-108,-82,44,-9512,1280,-70609,55,269,21,-29085,-670,-108536,154,219,-31,-13231,-7743,-45182,276,390,-96,-26341,-4451,-30792,186,236,-40,6402,1951,8719,98,105,-37,15975,1463,20670,92,-98,-38,9756,4878,39512,-40,-9,36,9756,2621,23780,70,-83,13,5670,-2012,26524,-54,-174,-15,-4573,-609,14085,-8,45,-19,-548,914,-5182,32,43,27,2134,731,243,-20,-45,-3,-487,-1219,4512,-13,-21,-13,1585,731,60,-2,31,20,-304,-60,-1890,8,-16,-15,-914,-1890,792,-9,-14,1,-365,1646,-365,-1,13,27,975,0,-609,1,9,-12,-609,-2012,-426,Up
