@relation SmoothNormalizedBigDAta

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {Up,Left,Down,Right,TiltLeft,TiltRight}

@data
65.139992,61.362307,25.725031,108.589602,74.778619,101.877584,58.244881,59.189302,42.490598,102.528218,99.178706,99.555522,59.763198,59.044435,55.372615,99.341883,107.505318,99.605982,59.072294,59.406603,57.496866,100.463757,103.816544,99.636045,58.9486,59.48015,57.638111,100.325275,101.82356,99.797056,57.768491,58.911826,63.705809,98.596378,105.861039,99.447938,59.386544,59.466778,63.485165,99.352588,100.957844,99.902695,58.727957,59.770999,59.236105,100.72848,96.211799,99.961938,59.30631,59.526954,58.487254,99.951628,97.690731,100.06369,59.456749,59.423318,58.748015,99.973537,98.830877,99.988982,59.547012,59.670706,59.416632,99.964537,99.809986,99.891075,59.600501,59.724196,59.700794,99.887272,99.990313,99.952916,59.647305,59.520267,59.643962,99.952938,99.86794,99.992848,59.570414,59.557041,59.567071,99.946494,99.815141,99.928429,59.684079,59.623903,59.587129,99.931028,99.894984,99.871764,59.657334,59.573757,59.540326,99.960649,99.876941,99.909139,59.633932,59.513581,59.5771,99.929718,99.902717,99.922027,59.593815,59.540326,59.640618,99.891075,99.938761,99.882096,59.593815,59.563728,59.526954,99.897519,99.934894,99.867961,59.5771,59.587129,59.597158,99.901386,99.947782,99.864095,Left
61.395738,58.186377,37.358964,106.831021,73.838111,102.315565,60.325951,59.08901,49.703301,99.938729,98.273639,99.858232,60.665831,59.779914,60.654687,98.493739,105.497709,99.507209,59.874634,59.878813,60.635186,99.892063,102.095043,99.766457,59.580443,59.801086,60.098621,99.788034,100.714324,99.945205,59.179273,59.633932,64.123694,98.323279,105.332841,99.504625,59.185959,59.797743,63.495194,99.84603,100.570063,99.878229,58.951943,59.587129,58.834935,100.800631,96.493941,100.147462,59.473464,59.363143,58.711241,99.936204,98.118444,100.065021,59.593815,59.353113,59.058922,100.000623,99.040867,99.894984,59.603845,59.807773,59.346427,100.072775,99.625751,99.83703,59.710823,59.597158,59.540326,99.931049,99.879539,99.95298,59.597158,59.496866,59.640618,99.825431,99.932359,99.902738,59.493523,59.5771,59.567071,99.853742,99.887293,99.851228,59.593815,59.62056,59.450063,99.883385,99.875694,99.870518,59.647305,59.600501,59.697451,99.889807,99.928493,99.892385,59.550355,59.633932,59.630589,99.852474,99.875673,99.891096,59.5771,59.570414,59.613874,99.888519,99.885983,99.898808,59.583786,59.590472,59.613874,99.855052,99.833164,99.936141,59.607188,59.600501,59.747597,99.856341,99.920739,99.925873,Left
57.11659,56.999582,40.668617,99.719791,101.529713,99.236702,62.173005,57.59298,49.059758,102.895368,106.328599,98.824444,61.668756,58.392534,59.473464,103.739199,110.238564,99.590946,61.830338,60.150439,62.51985,101.932384,106.690969,99.405751,60.55328,59.085667,62.799833,101.143326,103.683808,99.75068,60.626828,59.994985,66.761387,99.379674,99.855052,99.791901,59.26285,60.987881,64.748851,97.193486,94.356663,100.262102,58.704555,60.339323,59.302967,95.880725,89.854117,100.71557,57.932303,58.871709,56.364396,96.837903,90.956867,101.315899,58.350188,59.600501,55.177601,97.619868,92.755295,101.178039,58.423736,59.292938,54.589219,99.927162,96.850728,100.827633,58.152946,58.748015,57.096532,101.130396,101.228302,100.27499,58.430422,59.433347,58.717927,101.567109,102.823184,99.342299,58.734643,59.954868,59.500209,101.216724,103.169745,98.766458,59.222733,60.265775,60.048475,100.933293,103.243165,98.694327,59.583786,60.035102,60.566653,100.550667,102.717545,99.191573,59.667363,59.93481,60.673631,100.209282,101.632817,99.545845,59.757626,59.817802,60.289177,99.983827,100.803167,99.835678,59.660677,59.560384,60.008358,100.063669,100.113953,100.027604,59.5771,59.460092,59.754283,99.911675,99.870497,99.986404,Left
65.206853,60.10865,41.253656,102.270563,104.138481,98.141643,62.549102,58.545758,53.882156,102.972643,108.702266,98.621563,62.911269,58.776988,60.364953,103.298999,110.137643,99.17441,61.592144,58.265775,61.834517,101.974244,107.278747,99.673072,61.061429,59.336398,63.157543,101.090485,103.859001,99.575488,59.426661,59.246135,67.162557,98.96225,99.231504,100.312365,59.543669,59.851233,64.110322,97.515538,93.939239,100.487537,58.814877,60.041789,59.5771,96.174466,89.493379,100.722014,58.945257,60.295863,57.353949,96.638223,89.659571,100.980958,58.758044,59.48015,54.422064,97.297815,92.005529,101.029911,58.637693,59.272879,54.137902,99.518801,97.635312,100.402539,58.396991,59.486837,55.949854,100.661483,101.06342,100.046999,58.316757,59.627246,58.273297,101.706258,103.839648,99.561332,58.600919,59.777685,59.520267,101.679193,104.258318,99.056312,58.925199,59.974927,61.041371,101.710103,103.991642,99.084665,59.5771,60.175512,61.208525,100.848254,102.199636,99.299811,59.637275,59.791057,60.997911,100.287878,101.214125,99.736524,59.623903,59.526954,60.416214,99.701727,100.236347,99.887251,59.610531,59.730882,60.005015,99.66695,99.864053,99.851207,59.607188,59.543669,59.600501,99.444114,99.759702,99.922027,Left
60.376097,57.651483,42.99206,99.797119,102.141683,98.650508,63.075637,57.467614,50.422064,101.726255,107.813362,98.483017,63.295724,58.654409,61.072573,103.477248,111.516098,99.150746,62.352695,59.147514,61.124112,101.331718,107.579873,99.123932,61.462599,59.406603,61.893857,101.06342,104.693806,98.942939,60.680318,60.269118,66.704555,99.719728,100.768411,100.138462,58.891768,60.185541,65.791893,98.512627,95.271311,100.825119,58.420393,60.138738,59.353113,96.751553,89.0502,100.630615,58.273297,59.781028,58.737986,97.560604,89.573243,101.309518,58.173005,59.981613,56.431258,97.981873,90.402893,101.683102,58.844964,59.17593,54.980359,99.398985,95.182426,100.53911,59.065608,59.413289,56.193899,100.080466,98.781881,100.128151,58.46051,59.373172,58.226494,100.651151,102.378759,99.867919,58.580861,59.727539,58.610949,101.014425,103.602614,99.088532,59.07898,59.383201,60.095278,100.564844,104.585568,98.998358,59.112411,59.757626,60.516506,100.853409,103.450577,99.200594,59.433347,60.06519,60.787296,100.548111,102.676324,99.272725,59.650648,59.877977,60.569996,100.358741,101.362296,99.648886,59.717509,59.623903,60.295863,99.990313,100.37034,99.923253,59.653991,59.623903,60.188884,99.943937,99.89885,99.986362,Left
67.513581,61.579607,74.550773,104.428355,116.22269,96.537718,62.40702,59.732553,68.157125,101.130396,102.576548,100.122331,61.401309,59.501323,63.178716,98.987569,96.116885,100.41754,61.337234,59.172587,60.672796,98.360607,94.186605,100.883991,60.894275,59.463435,59.466778,99.039515,94.314154,100.689773,58.72127,58.778103,55.251149,98.226619,91.682188,101.187061,58.828249,59.095696,54.97033,98.734196,95.494211,100.140997,58.524028,59.376515,55.856247,99.289458,100.375496,99.678528,58.149603,59.944839,57.501045,101.049243,103.708274,99.106554,58.243209,59.587129,58.781446,100.68466,105.362399,99.083398,58.875052,59.881321,60.583368,100.984824,105.144676,99.219947,59.249478,59.944839,60.620142,100.674371,103.654124,99.459559,59.603845,59.854576,61.017969,101.202547,101.92527,99.731369,59.643962,59.587129,60.687004,100.139708,100.821231,99.878229,59.607188,59.617217,60.342666,100.099798,100.103685,99.92845,59.603845,59.643962,59.724196,99.66695,99.645062,99.937472,59.580443,59.640618,59.536983,99.86663,99.532978,99.995426,59.536983,59.553698,59.563728,99.80481,99.709481,99.963248,59.593815,59.470121,59.463435,99.809965,99.771322,99.914274,59.630589,59.700794,59.500209,99.846009,99.848629,99.857608,Left
63.134141,59.49018,42.122858,102.341341,104.737562,98.824496,63.944839,57.567906,53.054743,103.381626,110.579956,99.423472,62.415378,58.50397,62.654966,102.845911,111.460285,100.185697,60.990389,58.583368,62.202257,100.449206,106.381789,99.619935,60.513163,59.115754,62.21145,99.985115,103.048682,99.527823,59.610531,60.356038,66.988717,99.158064,99.522668,99.760969,58.81822,61.145006,64.40117,97.314549,93.657118,100.411561,58.63435,59.730882,58.27664,97.020828,89.153283,101.160038,59.169244,59.630589,57.257,98.641465,90.490511,101.236056,58.898454,59.486837,56.347681,99.426008,93.101856,101.066019,58.955286,58.717927,54.575846,100.098467,96.381815,100.454113,58.534058,58.654409,56.417885,100.709126,100.039245,99.727524,58.697869,59.968241,58.383619,100.895918,102.9134,98.574532,58.81822,60.289177,59.503552,100.718127,104.020017,98.805122,59.286252,60.101964,60.188884,100.474649,103.648989,99.089821,59.456749,59.737568,60.887589,100.156442,102.984221,99.669549,59.623903,59.844547,60.747179,100.392187,101.777121,99.757145,59.667363,59.704137,60.543251,100.021181,100.756791,99.812522,59.567071,59.660677,60.105307,99.901407,100.02378,99.919429,59.617217,59.650648,59.911408,99.674683,99.808655,99.942627,Left
64.67196,63.351442,75.386544,101.877584,106.496143,98.560398,61.31216,60.066862,64.972837,99.236649,97.230185,100.917902,60.832985,59.02772,60.75498,98.852315,94.813575,101.325829,59.368993,59.335562,59.481822,98.88722,95.225305,100.747188,60.406185,59.366486,58.758044,99.058889,96.086848,100.432203,59.142499,58.858337,55.408274,99.771322,95.427235,100.551998,59.195988,59.289595,56.504806,99.963269,98.695595,99.855052,58.982031,59.744254,57.949018,99.83703,101.742365,99.302388,59.777685,59.600501,58.748015,100.284033,102.856693,99.426071,58.784789,59.670706,59.640618,100.609952,103.476332,99.487912,59.052236,59.460092,60.111993,99.742926,103.062796,99.562642,59.363143,59.697451,60.212286,100.27368,102.334919,99.518844,59.526954,59.781028,60.392812,100.814745,101.233458,99.639928,59.587129,59.764313,60.399499,100.365164,100.72848,99.732658,59.603845,59.647305,60.125366,100.068888,100.113996,99.812543,59.570414,59.667363,59.854576,99.785478,99.835741,99.871806,59.53364,59.513581,59.583786,99.746835,99.673437,99.951649,59.453406,59.43669,59.456749,99.686303,99.762322,99.918182,59.607188,59.610531,59.366486,99.902717,99.871806,99.821585,59.630589,59.62056,59.62056,99.909118,99.991602,99.826698,Left
63.852904,53.054743,43.760969,99.610349,96.048184,98.760056,64.554952,58.495612,52.670288,104.434905,109.23696,98.927548,63.724753,58.910712,61.133863,103.148744,112.469459,99.477172,62.064354,57.985792,62.185541,100.639278,108.755456,99.74393,60.870873,59.737568,62.575846,100.074043,103.634855,99.125886,59.968241,62.264939,66.400334,99.809944,100.871473,99.606398,58.7313,60.844129,64.244045,97.462697,93.662253,100.733614,58.032595,59.48015,59.119097,97.420188,87.947451,101.534932,58.243209,60.349352,57.394066,99.051135,88.406053,100.947491,58.737986,59.209361,56.371082,99.641153,92.214209,101.161348,58.554116,58.149603,55.267865,99.258527,96.679402,100.563597,58.500627,58.748015,56.705391,99.907808,100.071423,99.525267,58.671124,60.2056,58.263268,100.130687,103.285674,98.521712,58.925199,60.095278,59.40326,100.0856,104.120501,99.012535,59.112411,59.821145,59.911408,100.184795,103.857691,99.408028,59.426661,59.784371,60.473046,100.986092,102.879892,99.736546,59.547012,59.737568,60.854158,100.634418,102.202256,99.830565,59.600501,59.684079,60.670288,100.309788,100.879206,99.911696,59.613874,59.597158,60.078562,99.995468,100.040555,99.923295,59.643962,59.637275,59.674049,99.714657,99.849876,99.923295,Left
68.24906,34.483911,56.53155,105.375308,127.347059,97.780989,62.649394,59.623903,65.499373,100.705302,109.224125,97.542614,61.011283,61.072573,64.61067,99.638202,101.950686,98.768613,60.927706,60.643544,61.813623,99.161011,97.756771,100.533004,60.516506,59.607188,60.573339,98.949404,96.9049,101.256677,58.664438,63.806101,60.165483,98.300102,90.128526,101.710124,58.01588,58.136231,56.210614,98.602844,92.229696,101.254078,58.928542,58.631007,55.177601,99.008647,95.728667,100.827675,58.437108,58.507313,56.688675,100.347142,99.597376,99.657908,58.567489,59.500209,57.74509,100.890784,101.747499,98.591244,58.684496,60.369411,58.865023,100.461782,103.544639,98.484337,59.914751,61.124948,60.198914,101.0312,103.633524,99.426071,59.40326,59.660677,60.957794,101.091753,102.926246,99.661795,59.690765,59.881321,60.743836,100.156484,101.940735,99.663084,59.674049,59.677392,60.439616,99.830565,101.009333,99.90783,59.667363,59.547012,60.279148,99.800965,100.427048,100.035358,59.587129,59.483494,59.867948,99.670859,100.017378,99.996715,59.540326,59.593815,59.473464,99.700459,99.7739,99.894963,59.570414,59.540326,59.456749,99.751969,99.838276,99.903984,59.590472,59.513581,59.593815,99.887251,99.93874,99.860207,Left
