@relation SmoothNormalizedBigDAta

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {Up,Left,Down,Right,TiltLeft,TiltRight}

@data
58.286669,76.4229,59.874634,100.421871,100.292991,98.457293,58.972002,67.003761,59.89135,99.958114,100.747135,101.120782,60.125366,61.245299,59.696337,99.477172,100.604346,103.835824,60.493105,58.416214,60.380276,98.359049,100.627948,103.296349,60.309235,56.745508,60.305892,98.636352,100.859832,101.44349,60.456331,54.495612,60.730464,98.86952,101.069822,100.70788,60.593397,55.648976,60.86753,99.322967,100.280124,99.534267,59.954868,58.055997,60.483076,100.171928,99.683662,97.181886,59.493523,60.315921,59.854576,101.286277,99.472405,96.597024,59.430004,62.56916,59.901379,101.194815,98.919762,97.791236,59.587129,61.385708,59.169244,100.89465,98.494648,98.926185,59.460092,60.683661,58.90514,100.326542,99.076932,99.366765,59.356456,60.235687,59.312996,99.791901,99.639907,99.919408,59.346427,59.864605,59.43669,99.569044,99.770012,100.222128,59.426661,59.199331,59.329712,99.544556,100.005736,100.338078,59.242791,59.323025,59.516924,99.65664,100.390919,100.20155,58.938571,59.366486,59.861262,99.770012,100.282723,100.287857,59.195988,59.182616,59.724196,99.96067,100.195127,100.224727,59.272879,59.526954,59.801086,100.023801,100.218325,100.036667,59.312996,59.791057,59.570414,100.062465,100.0148,100.076599,Up
70.706226,35.80443,66.310071,94.75991,97.48467,105.897062,65.532804,50.848308,64.020059,102.119181,99.958114,96.489388,60.431815,62.264939,59.713052,104.112775,100.211438,92.844631,58.278312,63.631425,58.61262,100.911405,99.983864,96.400809,58.520685,63.344756,58.998746,100.325254,99.956825,98.512627,56.524864,68.777267,57.781864,100.89596,100.353607,99.37192,56.895947,66.139574,57.654827,98.979026,100.318831,103.593613,60.880903,54.408692,59.025491,95.615337,98.883718,107.896458,61.405767,54.000836,60.994567,97.507805,100.07793,103.141413,61.088174,54.836607,60.610113,99.185128,100.048288,100.941026,60.880903,55.043878,60.16214,100.314943,100.027688,99.123245,60.315921,56.605098,59.784371,100.30721,99.516245,97.552829,58.069369,63.090681,60.259089,101.733344,100.728522,95.973413,59.038863,61.790221,59.192645,101.576173,99.624483,99.24566,59.356456,60.449645,59.299624,100.343276,99.521421,100.063711,59.440033,59.623903,59.503552,99.629575,99.587108,99.782879,59.409946,59.513581,59.513581,99.534225,99.706903,99.670817,59.53364,59.597158,59.319682,99.73906,99.848587,99.909139,59.730882,59.53364,59.430004,99.754525,100.01218,100.052133,59.62056,59.44672,59.383201,99.715883,100.095931,99.999334,Up
45.76682,48.859173,60.961137,102.038578,99.880891,106.843909,52.15211,53.054743,60.501463,100.679526,100.138493,100.70208,55.467335,57.211311,60.470818,99.603834,100.286618,97.205465,57.129127,58.813205,60.117008,99.370336,99.972613,97.07397,58.326786,59.817802,59.841204,99.246991,99.929781,97.313281,61.72336,62.418721,59.302967,98.770346,99.837009,96.10487,62.074384,62.83995,59.236105,98.914607,99.938782,97.505207,62.084413,61.800251,58.985374,99.588355,99.781633,99.885941,61.633097,61.185123,59.135813,100.205416,99.880828,100.997712,61.241956,60.452988,59.26285,100.455317,99.943937,102.118484,60.319265,58.77476,59.430004,100.555801,99.954248,102.440558,60.048475,58.761387,59.413289,100.540335,99.780323,102.007711,59.607188,58.848308,59.547012,100.374144,99.803479,101.52591,59.5771,58.674467,59.470121,100.006983,99.876919,101.071132,59.212704,58.493941,59.526954,99.99925,99.853721,100.300745,59.473464,59.720852,59.660677,99.948987,99.925873,99.772569,59.647305,59.75094,59.587129,99.902632,99.874363,99.853742,59.610531,59.526954,59.563728,99.901343,99.902717,99.924584,59.557041,59.523611,59.674049,99.928408,99.914274,99.89885,59.623903,59.587129,59.627246,99.875609,99.896273,99.882096,Up
48.106979,45.649812,60.844129,103.726275,98.785832,117.890949,52.712077,52.44463,60.518178,100.605473,99.877564,104.257748,55.467335,55.985513,60.181084,99.902301,99.915119,98.6591,56.936899,58.353531,60.142081,99.512051,99.993477,97.573196,58.290013,59.674049,59.901379,99.253435,99.876898,97.40861,61.188466,63.06728,59.336398,98.560334,100.072712,93.842643,61.850397,63.418303,59.149185,99.136175,99.936162,96.003076,61.944003,62.806519,59.232762,99.598644,99.968382,99.304924,61.536147,61.201839,59.005433,99.992848,99.871785,101.049243,60.92102,60.372754,59.43669,100.772235,100.050844,102.112061,60.175512,59.008776,59.563728,100.532645,99.909139,102.488244,59.857919,58.513999,59.476807,100.327831,99.831854,102.115949,59.463435,58.580861,59.506895,100.200282,99.839565,101.218034,59.580443,59.08901,59.630589,100.129419,99.848587,100.630573,59.329712,58.751358,59.339741,99.742926,99.779013,100.233791,59.470121,59.440033,59.660677,99.897519,99.977383,99.800943,59.617217,59.80443,59.787714,99.96965,99.960649,99.788055,59.600501,59.637275,59.647305,99.889807,99.864053,99.910428,59.540326,59.530297,59.610531,99.888519,99.898808,99.900118,59.603845,59.653991,59.633932,99.825431,99.894942,99.847319,Up
46.686168,47.037192,61.763477,100.995071,99.964452,104.859999,54.074384,53.865441,60.534893,100.344543,100.070726,98.656952,56.882574,58.359103,60.721549,99.766977,100.166294,96.372392,58.040117,59.740911,60.158796,99.286564,99.975756,96.861397,58.871709,60.265775,59.811116,99.232793,99.967051,97.792483,61.776849,62.903468,59.48015,99.258569,99.981228,97.190845,61.616381,62.121187,59.39323,99.205749,99.94774,99.228884,61.054743,60.747179,58.901797,99.840854,99.727461,101.116198,61.084831,60.202257,59.339741,100.615107,99.903942,101.731992,60.59674,59.099039,59.399916,100.738769,99.830544,101.810587,60.051818,58.667781,59.413289,100.375496,99.825388,101.61864,59.817802,59.343084,59.630589,100.44507,99.8035,101.038933,59.851233,59.13247,59.754283,100.044443,99.903984,100.7903,59.413289,58.788132,59.597158,99.706903,99.829255,100.513313,59.336398,59.346427,59.740911,99.736546,99.880786,100.09722,59.5771,59.694108,59.610531,99.835741,99.869187,99.879518,59.613874,59.520267,59.506895,99.902717,99.894942,99.924584,59.550355,59.640618,59.720852,99.923337,99.950318,99.94005,59.550355,59.670706,59.5771,99.876983,99.892385,99.880807,59.613874,59.587129,59.536983,99.876983,99.893674,99.905252,Up
47.287923,47.254492,61.429168,102.644104,99.97734,108.937367,53.606352,52.971166,60.869202,100.370319,100.280103,101.4686,55.255607,56.453545,60.738264,99.444917,100.338064,97.856064,56.907647,58.512328,60.472211,99.135209,100.061112,97.186688,58.199749,59.811116,59.857919,98.918452,99.844699,97.252728,61.211868,62.759716,59.379858,98.601534,99.875631,95.59085,61.562892,63.144171,59.125784,99.240505,99.755814,97.183154,61.94066,62.194735,58.918512,99.818923,99.57291,99.679817,61.803594,60.86753,58.741329,100.235016,99.798345,100.993867,61.024655,60.202257,59.289595,100.925518,100.028935,101.704969,60.763895,59.269536,59.409946,100.792835,99.934894,102.208679,60.115336,58.487254,59.409946,100.375453,99.844742,102.135239,59.901379,58.791475,59.500209,100.219593,100.012201,101.391917,59.580443,59.165901,59.62056,100.229903,99.905294,100.977092,59.617217,58.771417,59.580443,99.931028,99.870497,100.719458,59.316339,59.162557,59.603845,99.827987,99.902717,100.080466,59.603845,59.834517,59.603845,99.928471,99.938782,99.706882,59.627246,59.660677,59.590472,99.967114,99.818987,99.85632,59.630589,59.530297,59.613874,99.86794,99.853742,99.885962,59.617217,59.630589,59.526954,99.862785,99.858897,99.885962,Up
48.274133,45.633097,61.211868,104.138481,100.795413,114.04546,53.046385,52.026745,60.927706,101.545876,100.109443,103.136965,55.72921,56.269675,60.69369,99.951635,99.925894,98.206047,57.179273,58.428751,60.200585,99.48786,99.697237,97.479785,58.477225,59.456749,59.80443,99.417007,99.758413,97.403455,61.185123,63.264522,59.373172,98.42763,99.777745,94.600141,61.716674,63.755955,58.985374,98.616999,99.847319,96.612405,61.693272,62.639365,58.90514,99.504625,99.914316,99.827945,61.395738,60.947764,59.002089,99.994158,100.088241,101.197371,60.773924,60.503134,59.373172,100.340698,100.128172,101.96518,60.282491,58.667781,59.423318,100.595754,99.830586,102.488223,59.961555,58.253239,59.570414,100.443739,99.871785,102.032177,59.653991,58.473882,59.460092,100.165484,99.91814,101.037644,59.630589,59.155871,59.476807,100.074022,99.941296,100.514623,59.353113,58.77476,59.536983,100.007025,99.856299,100.32781,59.413289,59.617217,59.560384,99.764857,99.931028,99.798324,59.62056,59.730882,59.540326,99.904005,99.947782,99.798324,59.630589,59.593815,59.657334,100.008335,99.916851,99.882075,59.526954,59.590472,59.777685,99.990292,99.892406,99.937472,59.674049,59.627246,59.516924,99.840875,99.893695,99.891117,Up
48.14041,46.435437,62.131216,102.631216,100.080444,110.464069,53.221897,52.394484,61.078145,100.937181,100.083667,101.552373,55.874077,57.122162,60.75498,99.655351,99.893674,97.482452,57.496866,59.214375,60.246552,99.362281,99.65374,97.313904,58.403677,60.011701,59.817802,99.178706,99.710727,97.91101,60.904304,62.803176,59.319682,98.703328,99.724904,96.055875,61.419139,62.900125,59.102382,98.980293,99.634751,97.916144,61.419139,61.609695,58.998746,99.710727,99.775146,100.178372,61.088174,60.319265,59.142499,100.134553,100.016047,101.180638,60.670288,59.570414,59.423318,100.509425,100.062422,101.381606,60.392812,59.373172,59.443377,100.559668,100.05469,101.358408,60.299206,59.496866,59.633932,100.47205,100.116489,101.050511,59.931467,58.945257,59.506895,100.300745,99.999292,101.112331,59.637275,59.105725,59.593815,100.121686,99.959339,100.653729,59.660677,59.312996,59.637275,100.028956,99.946472,100.362608,59.747597,59.26285,59.610531,99.891138,99.885941,100.204148,59.520267,59.199331,59.526954,99.853784,99.864074,100.135863,59.587129,59.704137,59.704137,99.858897,99.927162,99.885962,59.627246,59.600501,59.580443,99.857608,99.901428,99.969671,59.597158,59.419975,59.600501,99.901386,99.873074,99.986383,Up
47.104053,47.923109,61.211868,102.199679,100.241439,108.428501,52.895947,53.414125,60.543251,100.476646,100.170608,101.313997,55.316896,56.71542,60.526536,99.49006,100.112629,97.931209,56.957794,58.437108,60.259089,99.210926,99.951617,97.420204,58.186377,59.510238,59.968241,99.140063,99.798324,97.443386,61.13832,62.602591,59.456749,98.624774,99.683684,95.699067,61.833682,63.01379,59.309653,99.100131,99.620575,97.317126,61.997493,62.131216,59.022148,99.807366,99.621863,99.768702,61.643126,61.231926,58.925199,100.205437,99.757124,101.073709,60.857501,60.132052,59.03552,100.615107,100.004469,101.931692,60.580025,59.259507,59.419975,100.773545,100.052112,102.168726,60.048475,58.741329,59.353113,100.461803,100.028914,101.838941,59.697451,58.791475,59.496866,100.223501,100.040513,101.174194,59.623903,59.008776,59.630589,100.116594,100.013448,100.644728,59.710823,59.216047,59.70748,99.942669,99.893653,100.334254,59.500209,59.296281,59.466778,99.864074,99.898808,100.162907,59.463435,59.49018,59.737568,99.928493,99.943916,100.012201,59.583786,59.610531,59.660677,99.907872,99.891117,99.954248,59.550355,59.496866,59.667363,99.919471,99.875652,99.958114,59.543669,59.540326,59.563728,99.886004,99.889829,99.887251,Up
47.521939,47.622232,61.730046,102.79876,100.247883,109.922984,53.038028,52.687004,61.011283,100.579697,100.170608,101.677978,55.762641,57.111018,60.676975,99.563022,100.127665,97.634925,57.250313,58.921855,60.40117,99.333283,99.929089,97.399287,58.126201,59.506895,59.938153,99.107843,99.731348,97.631509,61.215211,62.559131,59.319682,98.638888,99.647639,95.603759,61.880485,63.104053,59.115754,99.110378,99.679838,97.16771,61.833682,61.830338,58.821563,99.809902,99.717192,99.918182,61.425825,60.804012,59.015462,100.352255,99.936183,100.953935,61.262014,60.279148,59.413289,100.88172,100.099798,101.554243,60.476389,59.008776,59.496866,100.625375,100.072733,101.978068,60.091935,58.985374,59.590472,100.451493,100.03409,101.7655,59.774342,58.925199,59.84789,100.220924,99.963269,101.216682,59.747597,58.895111,59.647305,99.862806,99.81512,100.879143,59.466778,58.90514,59.540326,99.696614,99.871785,100.537779,59.580443,59.590472,59.5771,99.839629,99.915562,100.138398,59.486837,59.379858,59.610531,99.870518,99.893653,100.076599,59.560384,59.49018,59.563728,99.856341,99.891075,99.91945,59.540326,59.593815,59.563728,99.947782,99.912985,99.884673,59.627246,59.627246,59.660677,99.918182,99.911696,99.857608,Up
