@relation Testdata

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {Down,Left,Right,TiltLeft,TiltRight,Up}

@data
129.711582,98.550282,144.178239,100.716859,100.607675,100.767547,134.259118,122.676637,137.494277,100.732793,100.69221,100.744128,143.811994,140.129203,140.312325,100.766264,100.75336,100.754002,143.323668,141.355105,136.998321,100.764553,100.757656,100.74239,139.874866,140.83931,132.714787,100.752469,100.755848,100.727381,138.715092,140.45984,136.197162,100.748405,100.754519,100.739583,138.51017,136.931831,135.379652,100.747687,100.742157,100.736719,139.425781,141.270083,133.871073,100.750895,100.757358,100.731433,138.126485,138.213686,134.773604,100.746343,100.746649,100.734595,132.663339,130.945478,133.792592,100.727201,100.721182,100.731158,131.446884,130.069107,134.42916,100.722939,100.718111,100.733388,132.436616,130.679514,137.66432,100.726407,100.72025,100.744724,132.689499,130.513832,135.28373,100.727293,100.71967,100.736383,132.454056,134.093436,136.08162,100.726468,100.732212,100.739178,132.554337,135.471213,136.04674,100.726819,100.737039,100.739056,133.308626,136.674587,135.663055,100.729462,100.741256,100.737712,134.943646,138.082885,135.091888,100.735191,100.74619,100.73571,135.27065,137.66868,135.898498,100.736337,100.744739,100.738537,135.597654,136.495825,135.401452,100.737482,100.740629,100.736795,135.732816,136.203702,135.126768,100.737956,100.739606,100.735833,Down
133.61819,93.880665,135.418892,100.730547,100.591313,100.736856,136.731268,112.391271,137.112773,100.741455,100.656171,100.742791,145.978941,147.972939,137.250114,100.773857,100.780843,100.743272,141.00412,144.872577,134.007325,100.756426,100.76998,100.73191,138.159621,138.739509,136.969327,100.746459,100.748491,100.742289,138.882954,138.521797,135.724096,100.748994,100.747728,100.737926,138.030564,136.417344,135.623815,100.746007,100.740354,100.737574,137.969523,141.387805,135.25757,100.745793,100.75777,100.736291,136.229862,140.834078,134.4466,100.739698,100.75583,100.733449,130.888797,127.256873,134.621002,100.720984,100.708258,100.73406,132.257854,127.89344,135.994419,100.72578,100.710488,100.738873,133.435068,131.813128,134.590482,100.729905,100.724222,100.733953,132.362495,132.7767,135.802577,100.726147,100.727598,100.738201,132.955462,134.716924,135.471213,100.728225,100.734397,100.737039,133.304266,135.811297,135.676135,100.729447,100.738231,100.737758,134.3812,136.86643,136.03802,100.73322,100.741928,100.739025,135.610735,138.348848,135.610735,100.737528,100.747122,100.737528,135.523533,137.581479,135.763336,100.737223,100.744433,100.738063,135.527893,136.657147,135.21397,100.737238,100.741195,100.736138,135.562774,135.414532,134.869525,100.73736,100.736841,100.734931,Down
130.047307,99.954219,141.522967,100.718035,100.612594,100.758244,137.051732,115.702732,133.679231,100.742577,100.667774,100.730761,142.845516,138.613358,135.886871,100.762878,100.748049,100.738496,139.699374,145.360903,134.243858,100.751854,100.771691,100.732739,138.074164,141.584007,137.732336,100.74616,100.758458,100.744962,138.521797,138.247113,136.0293,100.747728,100.746766,100.738995,137.921563,135.859258,135.314251,100.745625,100.738399,100.73649,138.53197,140.310872,134.324519,100.747764,100.753997,100.733022,136.007499,139.194698,135.741536,100.738918,100.750086,100.737987,132.262214,131.97445,135.161649,100.725796,100.724787,100.735955,132.829021,127.775719,136.024939,100.727782,100.710076,100.73898,133.077543,130.239149,134.189357,100.728652,100.718707,100.732548,132.397375,132.76362,135.23141,100.726269,100.727553,100.736199,132.698219,135.122409,135.798217,100.727323,100.735817,100.738185,133.112424,135.915938,135.806937,100.728775,100.738598,100.738216,134.472761,137.511718,135.846177,100.733541,100.744189,100.738353,135.462493,137.502997,135.641255,100.737009,100.744158,100.737635,135.584574,137.389636,135.715376,100.737437,100.743761,100.737895,135.889778,136.299623,135.157289,100.738506,100.739942,100.73594,135.724096,135.697935,135.318611,100.737926,100.737834,100.736505,Down
129.803144,100.259423,137.952083,100.71718,100.613664,100.745732,138.54723,120.372349,135.602014,100.747817,100.684136,100.737498,149.264968,143.598352,138.613358,100.78537,100.765516,100.748049,140.660766,146.642759,136.815199,100.755223,100.776183,100.741748,137.878834,140.735541,137.720128,100.745475,100.755485,100.744919,138.933822,137.372196,135.373112,100.749172,100.7437,100.736696,138.279087,136.482745,135.25757,100.746878,100.740584,100.736291,138.693292,140.389353,135.087528,100.748329,100.754272,100.735695,135.676135,138.305247,135.357851,100.737758,100.746969,100.736642,129.894705,129.380218,133.496109,100.7175,100.715698,100.730119,132.379935,126.921148,134.298358,100.726208,100.707082,100.73293,133.334787,130.749275,134.023675,100.729554,100.720495,100.731967,131.97881,133.195265,135.907218,100.724803,100.729065,100.738567,132.571777,134.599202,135.828737,100.72688,100.733984,100.738292,133.094984,135.780777,135.314251,100.728714,100.738124,100.73649,134.41172,136.87515,135.689215,100.733327,100.741959,100.737803,135.152929,137.895402,136.05982,100.735924,100.745533,100.739102,135.636895,137.455037,135.846177,100.73762,100.74399,100.738353,135.876698,136.168821,135.25757,100.73846,100.739484,100.736291,135.959539,135.981339,135.078808,100.73875,100.738827,100.735664,Down
132.366855,94.582634,137.524798,100.726162,100.593773,100.744235,137.952083,115.077064,134.625362,100.745732,100.665582,100.734076,146.813164,136.334503,135.164556,100.77678,100.740064,100.735965,146.123913,148.443461,138.54723,100.774365,100.782492,100.747817,139.148482,141.712193,134.588738,100.749924,100.758907,100.733947,139.137291,136.629534,136.35485,100.749885,100.741098,100.740136,138.924375,136.147021,135.27937,100.749139,100.739407,100.736367,138.313967,139.792025,134.564322,100.747,100.752179,100.733862,136.10342,139.892307,135.100608,100.739255,100.75253,100.735741,130.439711,132.724379,135.336051,100.71941,100.727415,100.736566,128.795971,126.24534,133.522269,100.713651,100.704714,100.730211,132.175013,130.060387,136.133941,100.72549,100.718081,100.739362,131.603846,134.032395,135.009047,100.723489,100.731998,100.73542,131.446884,134.512001,135.976979,100.722939,100.733678,100.738812,132.80286,137.145473,136.07726,100.72769,100.742906,100.739163,133.932114,137.032112,136.247302,100.731647,100.742509,100.739759,135.305531,137.73408,135.867978,100.736459,100.744968,100.73843,135.798217,137.093153,135.654335,100.738185,100.742722,100.737681,135.876698,136.199342,135.423252,100.73846,100.739591,100.736871,135.924658,135.724096,135.148569,100.738628,100.737926,100.735909,Down
130.993438,87.898672,136.822829,100.72135,100.570354,100.741775,138.852434,112.009766,132.351595,100.748887,100.654835,100.726109,144.351188,146.894552,132.387202,100.768153,100.777065,100.726234,141.553487,135.937738,133.999695,100.758351,100.738674,100.731883,139.496414,142.505723,135.998779,100.751143,100.761687,100.738888,139.050816,139.305153,136.120861,100.749582,100.750473,100.739316,139.35166,136.949271,135.846177,100.750636,100.742218,100.738353,139.076977,142.216215,135.152929,100.749673,100.760673,100.735924,136.404264,141.431406,135.898498,100.740309,100.757923,100.738537,132.968542,128.65209,135.972619,100.72827,100.713146,100.738796,132.301454,133.003423,135.588934,100.725933,100.728393,100.737452,132.436616,128.918053,134.764884,100.726407,100.714078,100.734565,132.087811,131.272481,134.777964,100.725185,100.722328,100.73461,131.503564,134.006235,135.074448,100.723138,100.731906,100.735649,132.523817,135.514813,135.510453,100.726712,100.737192,100.737177,133.57895,136.312703,135.719736,100.730409,100.739988,100.73791,134.250398,137.502997,136.277823,100.732762,100.744158,100.739866,135.131129,137.346036,136.003139,100.735848,100.743608,100.738903,135.671775,136.774869,135.532253,100.737742,100.741607,100.737253,135.798217,136.225502,135.327331,100.738185,100.739682,100.736535,Down
133.404548,101.754921,135.693576,100.729798,100.618904,100.737819,137.402716,103.448802,133.862353,100.743807,100.624839,100.731402,152.896892,141.940078,142.285976,100.798096,100.759705,100.760917,145.017549,147.192126,138.783763,100.770488,100.778107,100.748646,138.727301,140.350984,137.494277,100.748448,100.754137,100.744128,139.976601,138.272547,135.978432,100.752826,100.746855,100.738817,139.046456,135.854897,135.907218,100.749567,100.738384,100.738567,139.36038,140.328312,134.886966,100.750666,100.754058,100.734992,136.89695,143.489351,135.078808,100.742035,100.765134,100.735664,128.68697,130.566153,131.843649,100.713269,100.719853,100.724329,129.563341,126.097098,133.238866,100.716339,100.704194,100.729218,132.515097,130.544353,133.666151,100.726682,100.719777,100.730715,130.845196,132.419175,134.978527,100.720831,100.726346,100.735313,131.372763,135.083168,134.873886,100.722679,100.73568,100.734947,131.525365,135.558414,135.811297,100.723214,100.737345,100.738231,133.164745,136.548146,136.08162,100.728958,100.740813,100.739178,134.376839,137.433237,136.020579,100.733205,100.743914,100.738964,135.628175,138.218046,135.863618,100.737589,100.746664,100.738414,135.876698,136.90131,135.684855,100.73846,100.74205,100.737788,135.920298,136.020579,135.375292,100.738613,100.738964,100.736703,Down
133.923394,99.374332,136.609187,100.731616,100.610562,100.741027,135.800397,111.704563,135.525713,100.738193,100.653765,100.73723,147.311664,143.41523,135.917392,100.778526,100.764874,100.738603,142.400427,144.964139,135.563864,100.761318,100.770301,100.737364,139.087441,141.443614,135.589806,100.74971,100.757966,100.737455,139.447581,138.638791,135.403632,100.750972,100.748138,100.736803,138.745613,136.818469,135.885418,100.748512,100.74176,100.738491,138.322688,140.110309,135.017767,100.74703,100.753294,100.735451,136.696388,140.672756,134.839005,100.741332,100.755265,100.734824,130.736195,129.54154,134.695123,100.720449,100.716263,100.73432,131.13296,127.727758,135.131129,100.721839,100.709908,100.735848,132.467136,129.855464,135.131129,100.726514,100.717363,100.735848,131.468684,132.301454,135.732816,100.723015,100.725933,100.737956,131.800048,134.054195,135.23141,100.724176,100.732074,100.736199,132.720019,136.09034,135.645615,100.7274,100.739209,100.737651,134.075996,137.193434,136.142661,100.732151,100.743074,100.739392,134.943646,137.860522,136.225502,100.735191,100.745411,100.739682,135.680495,137.646879,135.676135,100.737773,100.744663,100.737758,135.737176,136.596106,135.636895,100.737971,100.740981,100.73762,135.820017,135.667415,135.25757,100.738262,100.737727,100.736291,Down
132.458416,94.887838,131.481764,100.726483,100.594842,100.723061,144.346101,114.7566,137.280635,100.768135,100.664459,100.743379,152.632382,151.3607,140.546315,100.797169,100.792713,100.754822,141.141462,142.041813,132.298184,100.756907,100.760062,100.725922,139.545246,141.66336,137.036472,100.751314,100.758736,100.742524,140.597182,137.779134,135.088255,100.755,100.745126,100.735698,139.055176,134.886966,134.350679,100.749597,100.734992,100.733113,138.274727,139.953347,135.24449,100.746863,100.752744,100.736245,133.788232,139.138017,134.036755,100.731143,100.749887,100.732013,127.923961,126.354342,132.672059,100.710595,100.705095,100.727232,131.765167,130.256589,136.91875,100.724054,100.718768,100.742111,131.843649,130.226069,134.38992,100.724329,100.718661,100.733251,130.535632,133.243226,135.645615,100.719746,100.729233,100.737651,131.699767,136.09906,136.303983,100.723825,100.739239,100.739957,132.863901,136.787949,135.968259,100.727904,100.741653,100.738781,134.490201,137.882322,136.10778,100.733602,100.745487,100.73927,135.610735,138.130845,135.929018,100.737528,100.746358,100.738643,135.876698,136.931831,135.357851,100.73846,100.742157,100.736642,136.011859,136.225502,135.174729,100.738934,100.739682,100.736001,135.885418,135.663055,135.340411,100.738491,100.737712,100.736581,Down
130.260949,96.505417,135.907218,100.718784,100.60051,100.738567,137.73844,108.026858,136.349763,100.744983,100.640879,100.740118,154.738288,138.216593,134.269291,100.804548,100.746659,100.732828,142.759042,144.437662,131.397833,100.762575,100.768456,100.722767,139.929803,140.631772,136.072028,100.752662,100.755121,100.739145,140.027468,136.970344,135.540974,100.753004,100.742292,100.737284,138.954895,134.839005,134.926206,100.749246,100.734824,100.73513,139.212138,140.781757,135.070088,100.750147,100.755647,100.735634,136.508905,142.246735,134.747444,100.740675,100.76078,100.734504,127.83676,131.98753,135.689215,100.71029,100.724833,100.737803,131.272481,128.543088,137.302435,100.722328,100.712765,100.743456,132.166292,131.220161,134.965447,100.72546,100.722144,100.735267,131.202721,133.544069,135.292451,100.722083,100.730287,100.736413,131.97009,136.024939,135.724096,100.724772,100.73898,100.737926,132.567417,135.776417,135.575854,100.726865,100.738109,100.737406,133.849273,136.408624,135.924658,100.731357,100.740324,100.738628,134.908766,137.67304,135.702296,100.735069,100.744754,100.737849,135.484293,137.154193,135.981339,100.737085,100.742936,100.738827,135.567134,135.758976,135.493013,100.737375,100.738048,100.737116,135.811297,135.898498,135.501733,100.738231,100.738537,100.737146,Down
