@relation Traindata

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {Down,Left,Right,TiltLeft,TiltRight,Up}

@data
180.295827,184.257792,179.252509,103.270342,103.304837,103.261258,176.597993,178.209192,173.12467,103.238147,103.252175,103.207906,174.89875,175.915654,174.559782,103.223352,103.232206,103.220401,175.046223,174.574089,173.718965,103.224636,103.220526,103.21308,175.16112,174.698891,173.267301,103.225637,103.221612,103.209148,174.590597,173.820215,173.388801,103.220669,103.213962,103.210206,173.892536,173.143536,173.541619,103.214592,103.208071,103.211536,172.492642,171.045581,172.617161,103.202404,103.189805,103.203488,172.462456,171.302166,173.307675,103.202141,103.192039,103.2095,172.651121,171.694589,172.803939,103.203783,103.195455,103.205114,172.296431,172.579428,173.215229,103.200695,103.203159,103.208695,171.896461,172.377556,173.46804,103.197213,103.201402,103.210896,172.164365,173.269942,173.54728,103.199545,103.209171,103.211586,172.76432,173.977436,173.409554,103.204769,103.215331,103.210387,173.219002,174.426458,173.407667,103.208727,103.21924,103.21037,173.352955,174.398159,173.698212,103.209894,103.218994,103.2129,173.358614,174.23402,173.711418,103.209943,103.217565,103.213015,173.415214,173.747264,173.618972,103.210436,103.213327,103.21221,173.571806,173.743491,173.568033,103.211799,103.213294,103.211766,173.49068,173.422761,173.503886,103.211093,103.210502,103.211208,Down
174.154781,158.703117,173.732171,103.216875,103.082345,103.213195,178.057316,163.219757,173.184099,103.250852,103.121669,103.208424,177.628104,179.93925,175.206903,103.247115,103.267237,103.226035,176.241416,177.010697,172.794506,103.235042,103.24174,103.205032,174.793978,174.270998,174.540412,103.22244,103.217887,103.220232,174.830516,174.517961,173.388801,103.222758,103.220037,103.210206,174.94906,174.60003,173.609539,103.22379,103.220751,103.212128,175.0283,176.313108,173.568033,103.22448,103.235666,103.211766,173.45106,176.448947,173.592559,103.210748,103.236849,103.21198,172.539808,170.170176,172.74168,103.202814,103.182183,103.204572,172.260584,170.451287,173.864237,103.200383,103.18463,103.214345,172.728473,171.95306,172.558675,103.204457,103.197706,103.202978,172.390763,172.066259,173.528413,103.201516,103.198691,103.211421,171.909667,172.119085,173.43974,103.197328,103.199151,103.210649,171.732322,172.596408,173.345408,103.195784,103.203307,103.209828,172.175685,173.605766,173.532186,103.199644,103.212095,103.211454,172.669987,174.213267,173.571806,103.203947,103.217384,103.211799,173.179383,174.579277,173.4454,103.208383,103.220571,103.210699,173.351068,174.452871,173.624632,103.209877,103.21947,103.212259,173.46238,174.034035,173.551053,103.210847,103.215824,103.211619,Down
171.777602,160.155837,172.239831,103.196178,103.094993,103.200202,174.029318,168.522187,174.049128,103.215783,103.167835,103.215955,176.294242,173.12467,173.74978,103.235502,103.207906,103.213349,176.27113,174.613708,174.27364,103.235301,103.220871,103.21791,175.64448,175.797676,174.162705,103.229845,103.231179,103.216944,175,175.600898,174.11296,103.224234,103.229466,103.216511,174.97736,174.871708,173.988756,103.224037,103.223117,103.215429,175.528262,175.994265,173.664252,103.228833,103.23289,103.212604,174.464191,174.56607,173.369934,103.219569,103.220456,103.210042,173.005811,173.07373,173.318995,103.206871,103.207463,103.209598,172.132292,171.868161,172.922798,103.199266,103.196966,103.206149,171.905894,170.653158,172.881292,103.197295,103.186388,103.205787,172.054939,170.998415,172.917138,103.198593,103.189394,103.206099,171.773828,171.845521,172.996378,103.196145,103.196769,103.206789,171.430458,172.745453,173.502,103.193156,103.204605,103.211191,172.228511,174.056675,173.537846,103.200104,103.216021,103.211504,172.675647,174.26232,173.585013,103.203997,103.217811,103.211914,173.143536,174.543431,173.713305,103.208071,103.220259,103.213031,173.437854,174.62833,173.651045,103.210633,103.220998,103.212489,173.51332,174.143461,173.588786,103.21129,103.216776,103.211947,Down
184.83888,177.496038,180.335446,103.309896,103.245965,103.270687,179.886424,181.570259,175.429213,103.266777,103.281438,103.227971,176.369079,179.21289,173.40641,103.236154,103.260913,103.210359,176.073032,175.445721,174.095351,103.233576,103.228115,103.216358,175.633914,174.001585,173.359746,103.229753,103.215541,103.209953,174.841521,173.252333,173.289752,103.222854,103.209018,103.209344,174.409479,173.069957,173.379368,103.219092,103.20743,103.210124,172.30209,172.198325,172.460569,103.200744,103.199841,103.202124,171.864388,170.42676,172.71338,103.196934,103.184417,103.204325,172.385103,170.504113,173.381254,103.201467,103.18509,103.21014,172.000226,172.141725,173.100143,103.198116,103.199348,103.207693,171.968153,173.043544,173.51332,103.197837,103.2072,103.21129,172.388876,173.786884,173.534073,103.2015,103.213672,103.211471,172.668101,174.051015,173.475587,103.203931,103.215971,103.210961,173.192589,174.343446,173.379368,103.208498,103.218518,103.210124,173.430307,174.364199,173.575579,103.210567,103.218698,103.211832,173.4454,174.064222,173.551053,103.210699,103.216086,103.211619,173.622746,173.784997,173.430307,103.212243,103.213655,103.210567,173.605766,173.615199,173.441627,103.212095,103.212177,103.210666,173.573693,173.515206,173.560486,103.211816,103.211306,103.211701,Down
174.920761,158.240888,173.864237,103.223544,103.078321,103.214345,177.588484,169.558901,174.385895,103.24677,103.176861,103.218887,177.518049,177.152668,174.049128,103.246157,103.242976,103.215955,175.802298,176.640914,173.378896,103.231219,103.23852,103.21012,174.846804,176.505547,174.228737,103.2229,103.237342,103.217519,175.457827,174.418912,173.276545,103.22822,103.219174,103.209228,175.198098,173.502,173.305788,103.225959,103.211191,103.209483,174.18308,175.03396,173.566146,103.217121,103.22453,103.21175,172.681307,173.696325,173.339748,103.204046,103.212883,103.209779,171.928534,170.722964,173.149196,103.197492,103.186996,103.20812,172.203985,170.922949,173.4737,103.19989,103.188737,103.210945,172.500189,170.945589,172.930345,103.202469,103.188934,103.206214,171.805901,172.543582,173.749151,103.196424,103.202847,103.213343,171.934194,173.573693,173.669912,103.197541,103.211816,103.212653,172.783186,174.27364,173.320881,103.204933,103.21791,103.209615,173.315222,174.452871,173.403894,103.209565,103.21947,103.210337,173.522753,174.730209,173.617086,103.211372,103.221885,103.212193,173.607652,174.243453,173.586899,103.212111,103.217647,103.211931,173.675572,173.903856,173.545393,103.212703,103.21469,103.211569,173.637839,173.613312,173.437854,103.212374,103.212161,103.210633,Down
173.08505,159.746434,172.041733,103.207561,103.091429,103.198478,174.366086,167.894876,174.716059,103.218715,103.162373,103.221762,177.249516,176.228209,175.607501,103.243819,103.234927,103.229523,176.175383,175.647121,173.550581,103.234467,103.229868,103.211614,174.648706,176.798732,174.257792,103.221175,103.239894,103.217772,174.865733,175.110055,174.064536,103.223065,103.225192,103.216089,174.9717,174.151007,173.511433,103.223987,103.216842,103.211274,174.735869,175.228285,173.605766,103.221934,103.226221,103.212095,173.841597,174.384952,173.158629,103.214148,103.218879,103.208202,172.115312,171.441778,172.551128,103.199118,103.193254,103.202913,171.92476,171.315372,173.335975,103.197459,103.192154,103.209746,172.560562,170.349408,172.854879,103.202995,103.183743,103.205557,172.109652,171.834201,173.041657,103.199069,103.196671,103.207183,171.839861,172.711493,173.398234,103.19672,103.204309,103.210288,172.234171,173.87933,173.5303,103.200153,103.214477,103.211438,172.832239,174.383065,173.458607,103.20536,103.218862,103.210814,173.194476,174.434005,173.481247,103.208514,103.219306,103.211011,173.469927,174.371746,173.543506,103.210912,103.218764,103.211553,173.502,174.281186,173.585013,103.211191,103.217975,103.211914,173.618972,173.743491,173.435967,103.21221,103.213294,103.210617,Down
186.423666,183.452192,178.961965,103.323694,103.297823,103.258729,178.222398,183.405969,173.435024,103.25229,103.29742,103.210608,176.259025,178.565769,175.528262,103.235196,103.255279,103.228833,176.469229,174.630217,173.411912,103.237026,103.221014,103.210407,175.50449,173.333333,173.330692,103.228626,103.209723,103.2097,174.399102,172.774696,173.355784,103.219002,103.204859,103.209918,173.752924,172.38133,173.622746,103.213376,103.201434,103.212243,171.649309,170.947476,172.683194,103.195061,103.188951,103.204063,171.979473,169.832466,173.466153,103.197936,103.179243,103.210879,172.083239,170.853143,172.711493,103.198839,103.188129,103.204309,171.651196,172.851106,173.677458,103.195077,103.205524,103.212719,172.032299,173.964229,173.698212,103.198396,103.215216,103.2129,172.760546,174.379292,173.611426,103.204736,103.21883,103.212144,173.260509,174.777375,173.345408,103.209089,103.222296,103.209828,173.503886,174.637763,173.541619,103.211208,103.22108,103.211536,173.690665,174.292506,173.581239,103.212834,103.218074,103.211881,173.758584,173.947249,173.4454,103.213425,103.215068,103.210699,173.635952,173.503886,173.452947,103.212358,103.211208,103.210764,173.52464,173.173723,173.4454,103.211389,103.208333,103.210699,173.432194,173.228436,173.568033,103.210584,103.20881,103.211766,Down
174.101955,159.218172,172.477549,103.216415,103.086829,103.202272,174.068938,169.063656,174.379292,103.216127,103.172549,103.21883,176.170981,175.167283,173.965487,103.234429,103.22569,103.215227,175.924458,176.307448,173.643027,103.232283,103.235617,103.212419,174.437401,176.576862,174.078183,103.219335,103.237963,103.216208,174.610407,175.237718,174.05133,103.220842,103.226304,103.215974,174.728322,174.356652,173.666138,103.221868,103.218632,103.21262,174.564184,175.318844,173.549166,103.220439,103.22701,103.211602,173.932156,174.101955,173.12467,103.214937,103.216415,103.207906,172.449249,171.722889,173.202022,103.202026,103.195702,103.20858,172.058713,170.919176,173.256735,103.198626,103.188704,103.209056,172.71338,170.685231,173.000151,103.204325,103.186667,103.206822,172.332277,171.649309,172.924685,103.201007,103.195061,103.206165,172.151158,172.70206,173.234095,103.19943,103.204227,103.208859,172.34171,173.911403,173.492567,103.201089,103.214756,103.211109,172.926572,174.447212,173.552939,103.206181,103.219421,103.211635,173.364274,174.539657,173.520866,103.209992,103.220226,103.211356,173.541619,174.569844,173.622746,103.211536,103.220489,103.212243,173.637839,174.088748,173.447287,103.212374,103.2163,103.210715,173.717078,173.871783,173.558599,103.213064,103.214411,103.211684,Down
174.115161,157.765452,173.732171,103.21653,103.074181,103.213195,176.446117,168.641046,174.201004,103.236824,103.168869,103.217277,178.213594,175.554675,174.973587,103.252213,103.229063,103.224004,176.832409,177.793185,174.118463,103.240188,103.248553,103.216559,175.216587,176.603275,173.66878,103.226119,103.238193,103.212643,175.275137,174.53557,173.639725,103.226629,103.22019,103.212391,175.069806,173.703871,173.294468,103.224841,103.212949,103.209385,174.341559,175.060373,173.532186,103.218501,103.224759,103.211454,173.086937,174.184967,173.375594,103.207578,103.217138,103.210091,171.760622,171.949287,172.969965,103.19603,103.197673,103.206559,171.798355,170.326768,173.043544,103.196359,103.183546,103.2072,172.470002,170.80975,173.273715,103.202206,103.187751,103.209204,172.053053,172.237944,173.334088,103.198576,103.200186,103.209729,171.966267,173.128443,173.771791,103.197821,103.207939,103.21354,172.717153,174.20572,173.52464,103.204358,103.217318,103.211389,173.202022,174.443438,173.49068,103.20858,103.219388,103.211093,173.392574,174.339673,173.386914,103.210239,103.218485,103.210189,173.460494,174.198174,173.673685,103.21083,103.217253,103.212686,173.405781,173.986869,173.728398,103.210354,103.215413,103.213163,173.579352,173.647272,173.49634,103.211865,103.212456,103.211142,Down
172.239831,157.752245,170.972002,103.200202,103.074066,103.189164,175.78579,168.350502,174.432118,103.231075,103.16634,103.21929,176.650819,176.721254,173.437225,103.238607,103.23922,103.210628,175.247623,177.571976,173.702456,103.22639,103.246627,103.212937,174.772847,175.599577,173.592182,103.222256,103.229454,103.211977,174.663233,174.555379,173.773992,103.221302,103.220363,103.21356,174.60003,174.154781,173.4737,103.220751,103.216875,103.210945,174.394385,175.803713,173.843483,103.218961,103.231231,103.214165,173.164289,174.64531,173.220889,103.208251,103.221146,103.208744,172.258698,171.600257,173.630292,103.200367,103.194634,103.212308,172.564335,170.677685,173.432194,103.203028,103.186601,103.210584,172.698287,171.61535,173.332201,103.204194,103.194765,103.209713,172.403969,172.475662,173.271828,103.201631,103.202256,103.209187,172.30775,172.839786,173.4737,103.200794,103.205426,103.210945,172.688854,173.711418,173.637839,103.204112,103.213015,103.212374,173.173723,174.23968,173.615199,103.208333,103.217614,103.212177,173.358614,174.324579,173.562373,103.209943,103.218353,103.211717,173.354841,174.237793,173.617086,103.20991,103.217598,103.212193,173.337861,173.984982,173.651045,103.209762,103.215396,103.212489,173.511433,173.749151,173.662365,103.211274,103.213343,103.212588,Down
